./data/256_ObjectCategories\001.ak47\001_0001.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0002.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0003.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0004.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0005.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0006.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0007.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0008.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0009.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0010.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0011.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0012.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0013.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0014.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0015.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0016.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0017.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0018.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0019.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0020.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0021.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0022.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0023.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0024.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0025.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0026.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0027.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0028.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0029.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0030.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0031.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0032.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0033.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0034.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0035.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0036.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0037.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0038.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0039.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0040.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0041.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0042.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0043.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0044.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0045.jpg,ak47
./data/256_ObjectCategories\001.ak47\001_0046.jpg,ak47
